row,age,username,first_name,last_name,gender,city,state,zip,freq,services,netflix,amazon,Showtime,youtube,fuboTV,Crackle,Discovery+,CBS All Access,Rent or Buy,Apple TV+,hulu,Philo,FOX,PlutoTV,HBO MAX,Starz,Disney+,IMDb TV,FX,Tubi,NBC,Peacock
0,29,elsie_farrell,Elsie,Farrell,Female,Agness,OR,97406,2-FEW_TIMES_WEEK,"{'netflix': 1, 'amazon': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,57,candace_winfrey,Candace,Winfrey,Female,Victoria,TX,77903,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
2,52,wilhelmina_hancock,Wilhelmina,Hancock,Female,Mountain City,GA,30562,3-FEWER_THREE_PER_MONTH,"{'netflix': 1, 'Showtime': 1}",1.0,,1.0,,,,,,,,,,,,,,,,,,,
3,24,jane_vogel,Jane,Vogel,Female,Whitesburg,KY,41858,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
4,37,dion_landis,Dion,Landis,Male,Venice,FL,34285,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
5,74,franklyn_sellers,Franklyn,Sellers,Male,Rifle,CO,81650,1-DAILY,"{'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
6,38,lynne_parson,Lynne,Parson,Female,Ogilvie,MN,56358,2-FEW_TIMES_WEEK,{'fuboTV': 1},,,,,1.0,,,,,,,,,,,,,,,,,
7,70,edison_scroggins,Edison,Scroggins,Male,Garden City,MI,48135,1-DAILY,"{'Crackle': 1, 'Discovery+': 1}",,,,,,1.0,1.0,,,,,,,,,,,,,,,
8,60,floyd_aguilera,Floyd,Aguilera,Male,Selinsgrove,PA,17870,1-DAILY,"{'CBS All Access': 1, 'Rent or Buy': 1, 'youtube': 1}",,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
9,53,betty_antonio,Betty,Antonio,Female,La Jose,PA,15753,3-FEWER_THREE_PER_MONTH,{'Apple TV+': 1},,,,,,,,,,1.0,,,,,,,,,,,,
10,35,janie_snell,Janie,Snell,Female,Murfreesboro,TN,37130,2-FEW_TIMES_WEEK,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
11,54,quincy_hughey,Quincy,Hughey,Male,Brinkhaven,OH,43006,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
12,30,otha_seward,Otha,Seward,Male,Willow Wood,OH,45696,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Philo': 1}",,,,1.0,,,,,,,,1.0,,,,,,,,,,
13,18,dwayne_coles,Dwayne,Coles,Male,Millwood,GA,31552,1-DAILY,"{'amazon': 1, 'youtube': 1, 'FOX': 1}",,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,
14,45,annmarie_wilkerson,Annmarie,Wilkerson,Female,Mullens,WV,25882,3-FEWER_THREE_PER_MONTH,"{'Showtime': 1, 'youtube': 1, 'PlutoTV': 1}",,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,
15,25,marcela_hiatt,Marcela,Hiatt,Female,Mobile,AL,36602,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
16,55,renae_goins,Renae,Goins,Female,Reed City,MI,49677,2-FEW_TIMES_WEEK,"{'HBO MAX': 1, 'netflix': 1}",1.0,,,,,,,,,,,,,,1.0,,,,,,,
17,22,ruby_sweat,Ruby,Sweat,Female,Provencal,LA,71468,3-FEWER_THREE_PER_MONTH,"{'amazon': 1, 'netflix': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
18,67,lenny_pereira,Lenny,Pereira,Male,Birmingham,AL,35235,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
19,34,carol_rodrigues,Carol,Rodrigues,Male,Acton,ME,04001,2-FEW_TIMES_WEEK,"{'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
21,56,elida_cannon,Elida,Cannon,Female,Las Vegas,NV,89104,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
22,49,venessa_centeno,Venessa,Centeno,Female,Florence,SC,29506,1-DAILY,{'fuboTV': 1},,,,,1.0,,,,,,,,,,,,,,,,,
23,20,sammy_valenti,Sammy,Valenti,Male,Lexington,NY,12452,2-FEW_TIMES_WEEK,{'Crackle': 1},,,,,,1.0,,,,,,,,,,,,,,,,
