row,age,username,gender,city,state,zip,lat,lng,freq,services,hulu,youtube,Apple TV+,FX,netflix,fuboTV,amazon,PlutoTV,Discovery+,Starz,Showtime,Philo,Crackle,CBS All Access,IMDb TV,Disney+,HBO MAX,NBC,Rent or Buy,FOX,Peacock,Tubi
0,62,fabian_couture,Male,Incline Village,NV,89451,39.2564,-119.9521,1-DAILY,{'hulu': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1,60,winford_underwood,Male,Dennard,AR,72629,35.7252,-92.5575,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Apple TV+': 1}",,1.0,1.0,,,,,,,,,,,,,,,,,,,
2,34,darell_akers,Male,Ailey,GA,30410,32.2143,-82.4762,1-DAILY,{'hulu': 1},1.0,,,,,,,,,,,,,,,,,,,,,
3,73,don_macon,Male,Double Springs,AL,35553,34.1387,-87.3974,1-DAILY,{'FX': 1},,,,1.0,,,,,,,,,,,,,,,,,,
4,46,glenda_corona,Female,Silver Spring,MD,20997,38.9907,-77.0261,2-FEW_TIMES_WEEK,"{'hulu': 1, 'netflix': 1}",1.0,,,,1.0,,,,,,,,,,,,,,,,,
5,71,mozelle_mcgowan,Female,Raleigh,NC,27612,35.852,-78.6841,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
6,66,allen_fenwick,Male,Mitchell,GA,30820,33.2052,-82.6817,1-DAILY,{'fuboTV': 1},,,,,,1.0,,,,,,,,,,,,,,,,
7,26,madeline_maxey,Female,Siluria,AL,35144,33.2293,-86.825,3-FEWER_THREE_PER_MONTH,"{'hulu': 1, 'netflix': 1}",1.0,,,,1.0,,,,,,,,,,,,,,,,,
8,59,travis_everhart,Male,Denali National Park,AK,99755,63.5436,-149.9867,2-FEW_TIMES_WEEK,{'hulu': 1},1.0,,,,,,,,,,,,,,,,,,,,,
9,64,brittney_cramer,Female,Grassy Creek,NC,28631,36.5415,-81.4468,3-FEWER_THREE_PER_MONTH,{'amazon': 1},,,,,,,1.0,,,,,,,,,,,,,,,
10,19,sean_howes,Male,Aiken,SC,29802,33.5604,-81.7196,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'hulu': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
11,79,rodrick_groves,Male,Orlando,FL,32859,28.4429,-81.4026,3-FEWER_THREE_PER_MONTH,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
12,64,isabelle_hawes,Female,Pelkie,MI,49958,46.7949,-88.6251,2-FEW_TIMES_WEEK,{'hulu': 1},1.0,,,,,,,,,,,,,,,,,,,,,
13,48,sun_fennell,Female,Greenville,SC,29608,34.8497,-82.4538,3-FEWER_THREE_PER_MONTH,{'hulu': 1},1.0,,,,,,,,,,,,,,,,,,,,,
14,27,xavier_click,Male,Howes,SD,57748,44.5838,-102.0229,3-FEWER_THREE_PER_MONTH,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
15,31,lora_gorham,Female,Auburn,MA,01501,42.2055,-71.8391,1-DAILY,"{'youtube': 1, 'netflix': 1}",,1.0,,,1.0,,,,,,,,,,,,,,,,,
16,56,maryellen_eng,Female,Kinards,SC,29355,34.3804,-81.7773,1-DAILY,"{'youtube': 1, 'amazon': 1}",,1.0,,,,,1.0,,,,,,,,,,,,,,,
17,74,chrystal_conte,Female,Ebensburg,PA,15931,40.4801,-78.7263,1-DAILY,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
